model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9828853046594982,0.9389210878288007,0.975,0.9566204860322507,0.9982708333333334
Logistic Regression,0.9779569892473118,0.9212147887323944,0.9689814814814814,0.9444945848375451,0.9967180041152264
Decision Tree,0.9791218637992831,0.9299419901829541,0.9648148148148148,0.9470574869347875,0.9768751028806584
KNN,0.9670250896057347,0.9529828109201214,0.8726851851851852,0.9110681488641856,0.9750973765432099
